t,ax,ay,az,scr
1.5,0.7446771,0.1933551,-0.549360000000001,0
1.51000000000002,0.7616484,0.2340666,-0.550046700000001,0
1.53,0.7594902,0.2642814,-0.540530999999999,0
1.55000000000001,0.7408512,0.2816451,-0.528759000000001,0
1.56,0.7230951,0.2925342,-0.5153193,0
1.59,0.7125984,0.2925342,-0.503252999999999,0
1.60000000000002,0.7246647,0.2837052,-0.4803957,0
1.61000000000001,0.7387911,0.2515284,-0.458715599999999,0
1.62,0.7467372,0.2097378,-0.458127,0
1.65000000000001,0.7591959,0.1770705,-0.458617500000001,0
1.66,0.7821513,0.1596087,-0.4541049,0
1.68000000000001,0.8012808,0.1415583,-0.438016500000001,0
1.70000000000002,0.8290431,0.1327293,-0.412216199999999,0
1.71000000000001,0.836793,0.1144827,-0.3930867,0
1.72,0.8347329,0.0916254,-0.3899475,0
1.75,0.8342424,0.0743598,-0.394165800000001,0
1.76000000000002,0.8604351,0.0617049,-0.4032891,0
1.77000000000001,0.8886879,0.0385533,-0.400738500000001,0
1.79000000000002,0.9161559,0.0145188,-0.391909499999999,0
1.80000000000001,0.9430353,-0.0175599,-0.370229400000001,0
1.83000000000001,0.9801171,-0.0511101,-0.358555500000001,0
1.84,1.0279899,-0.0775971,-0.343055699999999,0
1.86000000000001,1.0765494,-0.1053594,-0.3304989,0
1.87,1.129131,-0.1352799,-0.3189231,0
1.89000000000001,1.1804373,-0.1632384,-0.303325200000001,0
1.90000000000001,1.2368448,-0.181485,-0.292828499999999,0
1.91,1.2815784,-0.190314,-0.289395000000001,0
1.94,1.3077711,-0.1978677,-0.2879235,0
1.95000000000002,1.3269987,-0.2046366,-0.2943,0
1.96000000000001,1.3506408,-0.2161143,-0.3012651,0
1.99000000000001,1.3804632,-0.2343609,-0.2863539,0
2,1.4049882,-0.2502531,-0.249958799999999,0
2.01000000000002,1.4249025,-0.2608479,-0.2218041,0
2.04000000000002,1.449918,-0.2692845,-0.2260224,0
2.05000000000001,1.4787594,-0.2774268,-0.2596707,0
2.06,1.4934744,-0.2772306,-0.279486899999999,0
2.09,1.4974965,-0.2737971,-0.247800600000001,0
2.10000000000002,1.4933763,-0.2601612,-0.1902159,0
2.11000000000001,1.4903352,-0.2514303,-0.186978600000001,0
2.12,1.4957307,-0.2572182,-0.246525300000001,0
2.15000000000001,1.4913162,-0.2753667,-0.340603200000001,0
2.16,1.4823891,-0.2865501,-0.4086846,0
2.18000000000001,1.4644368,-0.2767401,-0.4017195,0
2.20000000000002,1.448937,-0.2466234,-0.347372099999999,0
2.21000000000001,1.449918,-0.1973772,-0.3348153,0
2.23000000000002,1.4844492,-0.1404792,-0.373172400000001,0
2.24000000000001,1.5363441,-0.0876033,-0.422124299999999,0
2.26000000000002,1.5831378,-0.0360027,-0.444294900000001,0
2.27000000000001,1.5972642,-0.00769332573,-0.4302666,0
2.29000000000002,1.578429,0.00870822909,-0.4059378,0
2.31,1.5373251,0.0171675,-0.3833748,0
2.32000000000002,1.4941611,0.0217782,-0.3664035,0
2.34,1.452861,0.0100062,-0.3487455,0
2.35000000000002,1.4367726,-0.000970204095,-0.333638100000001,0
2.37,1.4443263,-0.0151074,-0.330695099999999,0
2.39000000000001,1.4612976,-0.0252117,-0.3381507,0
2.40000000000001,1.476405,-0.0339426,-0.3460968,0
2.41,1.4659083,-0.0394362,-0.3607137,0
2.44,1.4445225,-0.0262908,-0.370916099999999,0
2.45000000000002,1.4248044,-0.0021724245,-0.362675699999999,0
2.46000000000001,1.4099913,0.0148131,-0.3537486,0
2.49000000000001,1.4027319,0.0260946,-0.349236000000001,0
2.5,1.3948839,0.0397305,-0.362185200000001,0
2.52000000000001,1.3732038,0.0366894,-0.3876912,0
2.53,1.366533,0.0293319,-0.402896699999999,0
2.55000000000001,1.3717323,0.0216801,-0.388574099999999,0
2.56,1.380267,0.0167751,-0.3730743,0
2.57000000000002,1.3690836,0.00681483042,-0.361302299999999,0
2.60000000000002,1.3581945,-0.00067542831,-0.3627738,0
2.61000000000001,1.3576059,-0.00490243959,-0.368856000000001,0
2.62,1.3662387,-0.00293490675,-0.3797451,0
2.65000000000001,1.3715361,0.00496125054,-0.382295699999999,0
2.66,1.3654539,0.0144207,-0.372976199999999,0
2.67000000000002,1.3527009,0.0283509,-0.3491379,0
2.70000000000002,1.3221918,0.0399267,-0.330597000000001,0
2.71000000000001,1.2899169,0.0555246,-0.3304989,0
2.73000000000002,1.2646071,0.0615087,-0.349236000000001,0
2.74000000000001,1.248813,0.0635688,-0.3701313,0
2.75,1.2445947,0.0649422,-0.3814128,0
2.78,1.2249747,0.0738693,-0.360027,0
2.79000000000002,1.1943675,0.0937836,-0.3252015,0
2.80000000000001,1.1618964,0.1014354,-0.309113099999999,0
2.83000000000001,1.1368809,0.0889767,-0.329419799999999,0
2.84,1.1147103,0.0748503,-0.3804318,0
2.85000000000002,1.0961694,0.085347,-0.4036815,0
2.87,1.0765494,0.1138941,-0.357868800000001,0
2.89000000000001,1.0311291,0.122625,-0.310094099999999,0
2.90000000000001,0.9749178,0.1257642,-0.3245148,0
2.92000000000002,0.9272412,0.1288053,-0.4013271,0
2.94,0.8930043,0.1403811,-0.473332499999999,0
2.95000000000002,0.8463087,0.1503873,-0.493344899999999,0
2.97,0.7952967,0.167751,-0.459402299999999,0
2.99000000000001,0.7378101,0.189333,-0.4155516,0
3,0.6921936,0.1962981,-0.416434500000001,0
3.02000000000001,0.6804216,0.194238,-0.4788261,0
3.04000000000002,0.6901335,0.187371,-0.5176737,0
3.05000000000001,0.6887601,0.1767762,-0.5073732,0
3.06,0.6653142,0.1684377,-0.461069999999999,0
3.09,0.6305868,0.1552923,-0.413099100000001,0
3.10000000000002,0.6008625,0.1362609,-0.388770300000001,0
3.11000000000001,0.5800653,0.1192896,-0.388770300000001,0
3.13,0.558189,0.1081062,-0.396520199999999,0
3.15000000000001,0.5465151,0.1133055,-0.4089789,0
3.16,0.5404329,0.1252737,-0.4282065,0
3.18000000000001,0.5204205,0.1318464,-0.432130499999999,0
3.19,0.4915791,0.1351818,-0.4142763,0
3.21000000000001,0.4567536,0.1392039,-0.3899475,0
3.23000000000002,0.4216338,0.1518588,-0.3641472,0
3.24000000000001,0.401229,0.1583334,-0.350707499999999,0
3.25,0.3987765,0.1617669,-0.3604194,0
3.28,0.4053492,0.1574505,-0.374643899999999,0
3.29000000000002,0.4059378,0.148131,-0.3763116,0
3.30000000000001,0.3958335,0.1455804,-0.3797451,0
3.33000000000001,0.3807261,0.1358685,-0.372878100000001,0
3.34,0.3665016,0.1292958,-0.360321299999999,0
3.35000000000002,0.3552201,0.133416,-0.354337199999999,0
3.37,0.3451158,0.1407735,-0.363950999999999,0
3.39000000000001,0.3316761,0.1313559,-0.366992099999999,0
3.40000000000001,0.3205908,0.1274319,-0.373270499999999,0
3.42000000000002,0.3161763,0.1284129,-0.368659799999999,0
3.44,0.3092112,0.1272357,-0.348255000000001,0
3.45000000000002,0.2961639,0.1284129,-0.323631900000001,0
3.47,0.2800755,0.1266471,-0.296360100000001,0
3.49000000000001,0.2590821,0.1169352,-0.2959677,0
3.5,0.2387754,0.0960399,-0.3341286,0
3.52000000000001,0.2347533,0.0857394,-0.365913000000001,0
3.53,0.2267091,0.0697491,-0.3666978,0
3.55000000000001,0.2076777,0.0526797,-0.346979699999999,0
3.57000000000002,0.1771686,0.0400248,-0.335403899999999,0
3.58000000000001,0.1329255,0.0237402,-0.338935500000001,0
3.59,0.0893691,-0.0036322506,-0.356103,0
3.62,0.0497367,-0.0411039,-0.3783717,0
3.63,0.021582,-0.0610182,-0.4010328,0
3.64000000000001,0.0111834,-0.0585657,-0.412412400000001,0
3.67000000000002,0.00643427109,-0.0538569,-0.4052511,0
3.68000000000001,-0.023544,-0.0782838,-0.407801700000001,0
3.69,-0.0810306,-0.124587,-0.4425291,0
3.70000000000002,-0.1235079,-0.1551942,-0.4824558,0
3.73000000000002,-0.1369476,-0.172656,-0.496386,0
3.74000000000001,-0.1340046,-0.1796211,-0.475785,0
3.75,-0.1377324,-0.203067,-0.442430999999999,0
3.78,-0.1450899,-0.2265129,-0.439684200000001,0
3.79000000000002,-0.1534284,-0.2616327,-0.441057600000001,0
3.80000000000001,-0.1501911,-0.3092112,-0.439684200000001,0
3.83000000000001,-0.1415583,-0.3506094,-0.423105299999999,0
3.84,-0.1396944,-0.3819033,-0.3930867,0
3.85000000000002,-0.1546056,-0.4132953,-0.379254599999999,0
3.88,-0.1797192,-0.4379184,-0.3753306,0
3.89000000000001,-0.1949247,-0.4597947,-0.370818000000001,0
3.90000000000001,-0.2013012,-0.4733325,-0.372583799999999,0
3.92000000000002,-0.1999278,-0.4693104,-0.399561299999999,0
3.94,-0.2027727,-0.4650921,-0.4199661,0
3.95000000000002,-0.2056176,-0.4554783,-0.407409300000001,0
3.96000000000001,-0.2104245,-0.4549878,-0.363656699999999,0
3.99000000000001,-0.2198421,-0.4674465,-0.3281445,0
4,-0.218763,-0.4672503,-0.347274000000001,0
4.01000000000002,-0.2005164,-0.4587156,-0.3910266,0
4.04000000000002,-0.180504,-0.4520448,-0.4089789,0
4.05000000000001,-0.1535265,-0.4536144,-0.394165800000001,0
4.06,-0.116739,-0.4422348,-0.3633624,0
4.07000000000002,-0.0807363,-0.4380165,-0.3358944,0
4.10000000000002,-0.0702396,-0.4395861,-0.3410937,0
4.11000000000001,-0.0679833,-0.4352697,-0.3913209,0
4.12,-0.0695529,-0.4268331,-0.4444911,0
4.15000000000001,-0.0655308,-0.4047606,-0.4485132,0
4.16,-0.0573885,-0.383571,-0.397305,0
4.18000000000001,-0.0417906,-0.3650301,-0.339327899999999,0
4.19,-0.0209934,-0.3534543,-0.332657100000001,0
4.21000000000001,-0.00214470144,-0.3442329,-0.374643899999999,0
4.23000000000002,0.0124587,-0.3449196,-0.410842799999999,0
4.24000000000001,0.0201105,-0.3407013,-0.410842799999999,0
4.26000000000002,0.0223668,-0.3304989,-0.392498100000001,0
4.27000000000001,0.0295281,-0.3197079,-0.367286399999999,0
4.29000000000002,0.0275661,-0.310977,-0.365520600000001,0
4.31,0.031392,-0.3022461,-0.368954099999999,0
4.33000000000001,0.0437526,-0.2869425,-0.369542700000001,0
4.34,0.0492462,-0.2772306,-0.373957199999999,0
4.36000000000001,0.0458127,-0.2688921,-0.404073900000001,0
4.37,0.0305091,-0.254079,-0.437722200000001,0
4.39000000000002,0.00925401825,-0.2461329,-0.429678000000001,0
4.41,-0.00775444203,-0.2428956,-0.393871499999999,0
4.42000000000002,-0.00385783155,-0.2412279,-0.356691599999999,0
4.43000000000001,0.0191295,-0.242307,-0.340897500000001,0
4.45000000000002,0.0354141,-0.2510379,-0.355612499999999,0
4.47,0.0301167,-0.2592783,-0.387495000000001,0
4.48000000000002,0.00318083364,-0.2581992,-0.412706700000001,0
4.51000000000002,-0.0152055,-0.2506455,-0.409175099999999,0
4.52000000000001,-0.0194238,-0.2395602,-0.3856311,0
4.53,-0.00974137905,-0.2277882,-0.3674826,0
4.55000000000001,0.00365493132,-0.2245509,-0.373270499999999,0
4.56,0.00506459889,-0.2391678,-0.4020138,0
4.59,-8.38213488E-05,-0.2384811,-0.4152573,0
4.60000000000002,-0.00835592256,-0.2438766,-0.379254599999999,0
4.61000000000001,-0.0155979,-0.2424051,-0.3650301,0
4.63,-0.0142245,-0.2357343,-0.391909499999999,0
4.65000000000001,-0.00539182125,-0.233478,-0.426146399999999,0
4.66,-0.0099081,-0.241326,-0.4338963,0
4.67000000000002,-0.017658,-0.2436804,-0.406722600000001,0
4.70000000000002,-0.0143226,-0.2357343,-0.378862200000001,0
4.71000000000001,-0.0180504,-0.2251395,-0.353944799999999,0
4.72,-0.0269775,-0.2182725,-0.348255000000001,0
4.75,-0.0198162,-0.21582,-0.375232499999999,0
4.76000000000002,0.00216427239,-0.2051271,-0.4265388,0
4.77000000000001,0.0190314,-0.2024784,-0.462639600000001,0
4.79000000000002,0.0109872,-0.2091492,-0.455085899999999,0
4.80000000000001,-0.00587269764,-0.2074815,-0.4180041,0
4.83000000000001,-0.00694879578,-0.2032632,-0.3654225,0
4.84,0.00280297206,-0.1994373,-0.3418785,0
4.85000000000002,0.0219744,-0.1900197,-0.3487455,0
4.87,0.0368856,-0.1934532,-0.3761154,0
4.89000000000002,0.0332559,-0.2018898,-0.4205547,0
4.90000000000001,0.0223668,-0.2012031,-0.457930800000001,0
4.92000000000002,0.0249174,-0.1945323,-0.458323200000001,0
4.94,0.0301167,-0.187371,-0.404760600000001,0
4.95000000000002,0.042183,-0.1877634,-0.3307932,0
4.96000000000001,0.0645498,-0.1951209,-0.310780799999999,0
4.99000000000001,0.0883881,-0.1891368,-0.3654225,0
5,0.0988848,-0.1807983,-0.436446899999999,0
5.02000000000001,0.0829926,-0.1781496,-0.4528296,0
5.03,0.0591543,-0.1728522,-0.402798600000001,0
5.05000000000001,0.0592524,-0.1670643,-0.338248800000001,0
5.07000000000002,0.0839736,-0.1578429,-0.341976599999999,0
5.08000000000001,0.1135998,-0.1493082,-0.392498100000001,0
5.10000000000002,0.1281186,-0.1411659,-0.428795099999999,0
5.12,0.1267452,-0.1395963,-0.4359564,0
5.13,0.1159542,-0.1352799,-0.413491499999999,0
5.15000000000001,0.104967,-0.1260585,-0.375232499999999,0
5.16,0.0960399,-0.1259604,-0.3505113,0
5.18000000000001,0.0965304,-0.1270395,-0.3478626,0
5.20000000000002,0.1112454,-0.1362609,-0.3690522,0
5.21000000000001,0.1257642,-0.1420488,-0.406722600000001,0
5.22,0.1350837,-0.1444032,-0.401425200000001,0
5.25,0.1142865,-0.1421469,-0.3654225,0
5.26000000000002,0.0908406,-0.1362609,-0.350609400000001,0
5.27000000000001,0.0800496,-0.1228212,-0.3608118,0
